iter	Logloss
0	0.5983060474
1	0.5073059553
2	0.4586965568
3	0.4114561665
4	0.3709778423
5	0.3435091009
6	0.3210898195
7	0.3050600037
8	0.2922217376
9	0.2844691975
10	0.2713101304
11	0.2629462262
12	0.2548833237
13	0.246984817
14	0.2399502849
15	0.2342255009
16	0.2276738417
17	0.2213636944
18	0.2156562544
19	0.208214688
20	0.2024542713
21	0.1996583309
22	0.1928363983
23	0.1895277648
24	0.1848980154
25	0.1833876396
26	0.1786689917
27	0.1753125241
28	0.1716276601
29	0.1655266165
30	0.163621363
31	0.1609694929
32	0.1585889548
33	0.1559487773
34	0.1526061548
35	0.1493782705
36	0.1446184028
37	0.1403316338
38	0.138085218
